a1 b1 226
a17 b17 156.25
a17 b18 150
a17 b21 156.25
a17 b22 150
a17 b23 157.14285714285714
a17 b26 157.14285714285714
a17 b63 156.25
a17 b68 156.25
a17 b79 156.25
a17 b87 157.14285714285714
a17 b89 156.25
a17 b91 156.25
a18 b0 156.25
a18 b2 156.25
a18 b5 155.55555555555554
a18 b6 150
a18 b7 155.55555555555554
a18 b8 156.25
a18 b10 150
a18 b11 156.25
a18 b14 155.55555555555554
a18 b15 155.55555555555554
a18 b17 150
a18 b18 156.25
a18 b21 150
a18 b22 156.25
a18 b52 155.55555555555554
a18 b63 150
a18 b68 150
a18 b79 150
a18 b89 150
a18 b91 150
a19 b19 166.66666666666669
a19 b27 166.66666666666669
a19 b31 166.66666666666669
a19 b32 150
a19 b36 150
a19 b39 166.66666666666669
a19 b41 150
a19 b42 150
a19 b45 166.66666666666669
a19 b46 166.66666666666669
a19 b47 175.0
a19 b48 175.0
a19 b54 166.66666666666669
a19 b55 166.66666666666669
a19 b56 175.0
a19 b58 175.0
a19 b60 150
a19 b61 166.66666666666669
a19 b62 166.66666666666669
a19 b66 150
a19 b70 175.0
a19 b75 166.66666666666669
a19 b78 150
a19 b80 150
a19 b81 175.0
a19 b82 166.66666666666669
a19 b83 175.0
a19 b85 150
a19 b94 150
a19 b95 150
a19 b96 150
a19 b99 150
a20 b16 150
a20 b19 162.5
a20 b20 160.0
a20 b24 160.0
a20 b25 160.0
a20 b27 162.5
a20 b28 150
a20 b30 160.0
a20 b31 162.5
a20 b33 150
a20 b34 160.0
a20 b35 160.0
a20 b37 150
a20 b39 162.5
a20 b40 150
a20 b43 150
a20 b44 150
a20 b45 162.5
a20 b46 162.5
a20 b50 160.0
a20 b51 150
a20 b53 150
a20 b54 162.5
a20 b55 162.5
a20 b57 160.0
a20 b59 150
a20 b61 162.5
a20 b62 162.5
a20 b64 160.0
a20 b65 160.0
a20 b67 160.0
a20 b69 160.0
a20 b71 150
a20 b72 160.0
a20 b73 150
a20 b74 150
a20 b75 162.5
a20 b76 160.0
a20 b77 150
a20 b82 162.5
a20 b84 160.0
a20 b86 150
a20 b88 150
a20 b90 150
a20 b92 160.0
a20 b93 150
a20 b97 160.0
a20 b98 160.0
a21 b3 155.0
a21 b5 150
a21 b6 155.55555555555554
a21 b7 150
a21 b10 155.55555555555554
a21 b14 150
a21 b15 150
a21 b17 155.55555555555554
a21 b21 155.55555555555554
a21 b52 150
a21 b63 155.55555555555554
a21 b68 155.55555555555554
a21 b79 155.55555555555554
a21 b89 155.55555555555554
a21 b91 155.55555555555554
a22 b0 150
a22 b2 150
a22 b4 157.14285714285714
a22 b6 156.25
a22 b8 150
a22 b10 156.25
a22 b11 150
a22 b13 157.14285714285714
a22 b17 156.25
a22 b18 150
a22 b21 156.25
a22 b22 150
a22 b23 157.14285714285714
a22 b26 157.14285714285714
a22 b63 156.25
a22 b68 156.25
a22 b79 156.25
a22 b87 157.14285714285714
a22 b89 156.25
a22 b91 156.25
a23 b4 158.33333333333331
a23 b13 158.33333333333331
a23 b16 160.0
a23 b20 150
a23 b23 158.33333333333331
a23 b24 150
a23 b25 150
a23 b26 158.33333333333331
a23 b28 160.0
a23 b30 150
a23 b33 160.0
a23 b34 150
a23 b35 150
a23 b37 160.0
a23 b40 160.0
a23 b43 160.0
a23 b44 160.0
a23 b50 150
a23 b51 160.0
a23 b53 160.0
a23 b57 150
a23 b59 160.0
a23 b64 150
a23 b65 150
a23 b67 150
a23 b69 150
a23 b71 160.0
a23 b72 150
a23 b73 160.0
a23 b74 160.0
a23 b76 150
a23 b77 160.0
a23 b84 150
a23 b86 160.0
a23 b87 158.33333333333331
a23 b88 160.0
a23 b90 160.0
a23 b92 150
a23 b93 160.0
a23 b97 150
a23 b98 150
a24 b0 150
a24 b2 150
a24 b4 157.14285714285714
a24 b6 156.25
a24 b8 150
a24 b10 156.25
a24 b11 150
a24 b13 157.14285714285714
a24 b17 156.25
a24 b18 150
a24 b21 156.25
a24 b22 150
a24 b23 157.14285714285714
a24 b26 157.14285714285714
a24 b63 156.25
a24 b68 156.25
a24 b79 156.25
a24 b87 157.14285714285714
a24 b89 156.25
a24 b91 156.25
a25 b0 157.14285714285714
a25 b2 157.14285714285714
a25 b4 150
a25 b8 157.14285714285714
a25 b11 157.14285714285714
a25 b13 150
a25 b18 157.14285714285714
a25 b20 158.33333333333331
a25 b22 157.14285714285714
a25 b23 150
a25 b24 158.33333333333331
a25 b25 158.33333333333331
a25 b26 150
a25 b30 158.33333333333331
a25 b34 158.33333333333331
a25 b35 158.33333333333331
a25 b50 158.33333333333331
a25 b57 158.33333333333331
a25 b64 158.33333333333331
a25 b65 158.33333333333331
a25 b67 158.33333333333331
a25 b69 158.33333333333331
a25 b72 158.33333333333331
a25 b76 158.33333333333331
a25 b84 158.33333333333331
a25 b87 150
a25 b92 158.33333333333331
a25 b97 158.33333333333331
a25 b98 158.33333333333331
a26 b0 157.14285714285714
a26 b2 157.14285714285714
a26 b4 150
a26 b8 157.14285714285714
a26 b11 157.14285714285714
a26 b13 150
a26 b18 157.14285714285714
a26 b20 158.33333333333331
a26 b22 157.14285714285714
a26 b23 150
a26 b24 158.33333333333331
a26 b25 158.33333333333331
a26 b26 150
a26 b30 158.33333333333331
a26 b34 158.33333333333331
a26 b35 158.33333333333331
a26 b50 158.33333333333331
a26 b57 158.33333333333331
a26 b64 158.33333333333331
a26 b65 158.33333333333331
a26 b67 158.33333333333331
a26 b69 158.33333333333331
a26 b72 158.33333333333331
a26 b76 158.33333333333331
a26 b84 158.33333333333331
a26 b87 150
a26 b92 158.33333333333331
a26 b97 158.33333333333331
a26 b98 158.33333333333331
a27 b16 162.5
a27 b19 150
a27 b27 150
a27 b28 162.5
a27 b31 150
a27 b32 166.66666666666669
a27 b33 162.5
a27 b36 166.66666666666669
a27 b37 162.5
a27 b39 150
a27 b40 162.5
a27 b41 166.66666666666669
a27 b42 166.66666666666669
a27 b43 162.5
a27 b44 162.5
a27 b45 150
a27 b46 150
a27 b51 162.5
a27 b53 162.5
a27 b54 150
a27 b55 150
a27 b59 162.5
a27 b60 166.66666666666669
a27 b61 150
a27 b62 150
a27 b66 166.66666666666669
a27 b71 162.5
a27 b73 162.5
a27 b74 162.5
a27 b75 150
a27 b77 162.5
a27 b78 166.66666666666669
a27 b80 166.66666666666669
a27 b82 150
a27 b85 166.66666666666669
a27 b86 162.5
a27 b88 162.5
a27 b90 162.5
a27 b93 162.5
a27 b94 166.66666666666669
a27 b95 166.66666666666669
a27 b96 166.66666666666669
a27 b99 166.66666666666669
a28 b0 157.14285714285714
a28 b2 157.14285714285714
a28 b4 150
a28 b8 157.14285714285714
a28 b11 157.14285714285714
a28 b13 150
a28 b18 157.14285714285714
a28 b20 158.33333333333331
a28 b22 157.14285714285714
a28 b23 150
a28 b24 158.33333333333331
a28 b25 158.33333333333331
a28 b26 150
a28 b30 158.33333333333331
a28 b34 158.33333333333331
a28 b35 158.33333333333331
a28 b50 158.33333333333331
a28 b57 158.33333333333331
a28 b64 158.33333333333331
a28 b65 158.33333333333331
a28 b67 158.33333333333331
a28 b69 158.33333333333331
a28 b72 158.33333333333331
a28 b76 158.33333333333331
a28 b84 158.33333333333331
a28 b87 150
a28 b92 158.33333333333331
a28 b97 158.33333333333331
a28 b98 158.33333333333331
a29 b3 150
a29 b5 155.0
a29 b7 155.0
a29 b9 154.54545454545456
a29 b14 155.0
a29 b15 155.0
a29 b52 155.0
a30 b0 157.14285714285714
a30 b2 157.14285714285714
a30 b4 150
a30 b8 157.14285714285714
a30 b11 157.14285714285714
a30 b13 150
a30 b18 157.14285714285714
a30 b20 158.33333333333331
a30 b22 157.14285714285714
a30 b23 150
a30 b24 158.33333333333331
a30 b25 158.33333333333331
a30 b26 150
a30 b30 158.33333333333331
a30 b34 158.33333333333331
a30 b35 158.33333333333331
a30 b50 158.33333333333331
a30 b57 158.33333333333331
a30 b64 158.33333333333331
a30 b65 158.33333333333331
a30 b67 158.33333333333331
a30 b69 158.33333333333331
a30 b72 158.33333333333331
a30 b76 158.33333333333331
a30 b84 158.33333333333331
a30 b87 150
a30 b92 158.33333333333331
a30 b97 158.33333333333331
a30 b98 158.33333333333331
a31 b16 162.5
a31 b19 150
a31 b27 150
a31 b28 162.5
a31 b31 150
a31 b32 166.66666666666669
a31 b33 162.5
a31 b36 166.66666666666669
a31 b37 162.5
a31 b39 150
a31 b40 162.5
a31 b41 166.66666666666669
a31 b42 166.66666666666669
a31 b43 162.5
a31 b44 162.5
a31 b45 150
a31 b46 150
a31 b51 162.5
a31 b53 162.5
a31 b54 150
a31 b55 150
a31 b59 162.5
a31 b60 166.66666666666669
a31 b61 150
a31 b62 150
a31 b66 166.66666666666669
a31 b71 162.5
a31 b73 162.5
a31 b74 162.5
a31 b75 150
a31 b77 162.5
a31 b78 166.66666666666669
a31 b80 166.66666666666669
a31 b82 150
a31 b85 166.66666666666669
a31 b86 162.5
a31 b88 162.5
a31 b90 162.5
a31 b93 162.5
a31 b94 166.66666666666669
a31 b95 166.66666666666669
a31 b96 166.66666666666669
a31 b99 166.66666666666669
a32 b32 175.0
a32 b36 175.0
a32 b41 175.0
a32 b42 175.0
a32 b47 150
a32 b48 150
a32 b56 150
a32 b58 150
a32 b60 175.0
a32 b66 175.0
a32 b70 150
a32 b78 175.0
a32 b80 175.0
a32 b81 150
a32 b83 150
a32 b85 175.0
a32 b94 175.0
a32 b95 175.0
a32 b96 175.0
a32 b99 175.0
a33 b16 150
a33 b19 162.5
a33 b20 160.0
a33 b24 160.0
a33 b25 160.0
a33 b27 162.5
a33 b28 150
a33 b30 160.0
a33 b31 162.5
a33 b33 150
a33 b34 160.0
a33 b35 160.0
a33 b37 150
a33 b39 162.5
a33 b40 150
a33 b43 150
a33 b44 150
a33 b45 162.5
a33 b46 162.5
a33 b50 160.0
a33 b51 150
a33 b53 150
a33 b54 162.5
a33 b55 162.5
a33 b57 160.0
a33 b59 150
a33 b61 162.5
a33 b62 162.5
a33 b64 160.0
a33 b65 160.0
a33 b67 160.0
a33 b69 160.0
a33 b71 150
a33 b72 160.0
a33 b73 150
a33 b74 150
a33 b75 162.5
a33 b76 160.0
a33 b77 150
a33 b82 162.5
a33 b84 160.0
a33 b86 150
a33 b88 150
a33 b90 150
a33 b92 160.0
a33 b93 150
a33 b97 160.0
a33 b98 160.0
a34 b16 162.5
a34 b19 150
a34 b27 150
a34 b28 162.5
a34 b31 150
a34 b32 166.66666666666669
a34 b33 162.5
a34 b36 166.66666666666669
a34 b37 162.5
a34 b39 150
a34 b40 162.5
a34 b41 166.66666666666669
a34 b42 166.66666666666669
a34 b43 162.5
a34 b44 162.5
a34 b45 150
a34 b46 150
a34 b51 162.5
a34 b53 162.5
a34 b54 150
a34 b55 150
a34 b59 162.5
a34 b60 166.66666666666669
a34 b61 150
a34 b62 150
a34 b66 166.66666666666669
a34 b71 162.5
a34 b73 162.5
a34 b74 162.5
a34 b75 150
a34 b77 162.5
a34 b78 166.66666666666669
a34 b80 166.66666666666669
a34 b82 150
a34 b85 166.66666666666669
a34 b86 162.5
a34 b88 162.5
a34 b90 162.5
a34 b93 162.5
a34 b94 166.66666666666669
a34 b95 166.66666666666669
a34 b96 166.66666666666669
a34 b99 166.66666666666669
a35 b16 162.5
a35 b19 150
a35 b27 150
a35 b28 162.5
a35 b31 150
a35 b32 166.66666666666669
a35 b33 162.5
a35 b36 166.66666666666669
a35 b37 162.5
a35 b39 150
a35 b40 162.5
a35 b41 166.66666666666669
a35 b42 166.66666666666669
a35 b43 162.5
a35 b44 162.5
a35 b45 150
a35 b46 150
a35 b51 162.5
a35 b53 162.5
a35 b54 150
a35 b55 150
a35 b59 162.5
a35 b60 166.66666666666669
a35 b61 150
a35 b62 150
a35 b66 166.66666666666669
a35 b71 162.5
a35 b73 162.5
a35 b74 162.5
a35 b75 150
a35 b77 162.5
a35 b78 166.66666666666669
a35 b80 166.66666666666669
a35 b82 150
a35 b85 166.66666666666669
a35 b86 162.5
a35 b88 162.5
a35 b90 162.5
a35 b93 162.5
a35 b94 166.66666666666669
a35 b95 166.66666666666669
a35 b96 166.66666666666669
a35 b99 166.66666666666669
a36 b19 166.66666666666669
a36 b27 166.66666666666669
a36 b31 166.66666666666669
a36 b32 150
a36 b36 150
a36 b39 166.66666666666669
a36 b41 150
a36 b42 150
a36 b45 166.66666666666669
a36 b46 166.66666666666669
a36 b47 175.0
a36 b48 175.0
a36 b54 166.66666666666669
a36 b55 166.66666666666669
a36 b56 175.0
a36 b58 175.0
a36 b60 150
a36 b61 166.66666666666669
a36 b62 166.66666666666669
a36 b66 150
a36 b70 175.0
a36 b75 166.66666666666669
a36 b78 150
a36 b80 150
a36 b81 175.0
a36 b82 166.66666666666669
a36 b83 175.0
a36 b85 150
a36 b94 150
a36 b95 150
a36 b96 150
a36 b99 150
a37 b4 158.33333333333331
a37 b13 158.33333333333331
a37 b16 160.0
a37 b20 150
a37 b23 158.33333333333331
a37 b24 150
a37 b25 150
a37 b26 158.33333333333331
a37 b28 160.0
a37 b30 150
a37 b33 160.0
a37 b34 150
a37 b35 150
a37 b37 160.0
a37 b40 160.0
a37 b43 160.0
a37 b44 160.0
a37 b50 150
a37 b51 160.0
a37 b53 160.0
a37 b57 150
a37 b59 160.0
a37 b64 150
a37 b65 150
a37 b67 150
a37 b69 150
a37 b71 160.0
a37 b72 150
a37 b73 160.0
a37 b74 160.0
a37 b76 150
a37 b77 160.0
a37 b84 150
a37 b86 160.0
a37 b87 158.33333333333331
a37 b88 160.0
a37 b90 160.0
a37 b92 150
a37 b93 160.0
a37 b97 150
a37 b98 150
a38 b38 150
a38 b49 150
a39 b16 162.5
a39 b19 150
a39 b27 150
a39 b28 162.5
a39 b31 150
a39 b32 166.66666666666669
a39 b33 162.5
a39 b36 166.66666666666669
a39 b37 162.5
a39 b39 150
a39 b40 162.5
a39 b41 166.66666666666669
a39 b42 166.66666666666669
a39 b43 162.5
a39 b44 162.5
a39 b45 150
a39 b46 150
a39 b51 162.5
a39 b53 162.5
a39 b54 150
a39 b55 150
a39 b59 162.5
a39 b60 166.66666666666669
a39 b61 150
a39 b62 150
a39 b66 166.66666666666669
a39 b71 162.5
a39 b73 162.5
a39 b74 162.5
a39 b75 150
a39 b77 162.5
a39 b78 166.66666666666669
a39 b80 166.66666666666669
a39 b82 150
a39 b85 166.66666666666669
a39 b86 162.5
a39 b88 162.5
a39 b90 162.5
a39 b93 162.5
a39 b94 166.66666666666669
a39 b95 166.66666666666669
a39 b96 166.66666666666669
a39 b99 166.66666666666669
a40 b16 150
a40 b19 162.5
a40 b20 160.0
a40 b24 160.0
a40 b25 160.0
a40 b27 162.5
a40 b28 150
a40 b30 160.0
a40 b31 162.5
a40 b33 150
a40 b34 160.0
a40 b35 160.0
a40 b37 150
a40 b39 162.5
a40 b40 150
a40 b43 150
a40 b44 150
a40 b45 162.5
a40 b46 162.5
a40 b50 160.0
a40 b51 150
a40 b53 150
a40 b54 162.5
a40 b55 162.5
a40 b57 160.0
a40 b59 150
a40 b61 162.5
a40 b62 162.5
a40 b64 160.0
a40 b65 160.0
a40 b67 160.0
a40 b69 160.0
a40 b71 150
a40 b72 160.0
a40 b73 150
a40 b74 150
a40 b75 162.5
a40 b76 160.0
a40 b77 150
a40 b82 162.5
a40 b84 160.0
a40 b86 150
a40 b88 150
a40 b90 150
a40 b92 160.0
a40 b93 150
a40 b97 160.0
a40 b98 160.0
a41 b16 150
a41 b19 162.5
a41 b20 160.0
a41 b24 160.0
a41 b25 160.0
a41 b27 162.5
a41 b28 150
a41 b30 160.0
a41 b31 162.5
a41 b33 150
a41 b34 160.0
a41 b35 160.0
a41 b37 150
a41 b39 162.5
a41 b40 150
a41 b43 150
a41 b44 150
a41 b45 162.5
a41 b46 162.5
a41 b50 160.0
a41 b51 150
a41 b53 150
a41 b54 162.5
a41 b55 162.5
a41 b57 160.0
a41 b59 150
a41 b61 162.5
a41 b62 162.5
a41 b64 160.0
a41 b65 160.0
a41 b67 160.0
a41 b69 160.0
a41 b71 150
a41 b72 160.0
a41 b73 150
a41 b74 150
a41 b75 162.5
a41 b76 160.0
a41 b77 150
a41 b82 162.5
a41 b84 160.0
a41 b86 150
a41 b88 150
a41 b90 150
a41 b92 160.0
a41 b93 150
a41 b97 160.0
a41 b98 160.0
a42 b19 166.66666666666669
a42 b27 166.66666666666669
a42 b31 166.66666666666669
a42 b32 150
a42 b36 150
a42 b39 166.66666666666669
a42 b41 150
a42 b42 150
a42 b45 166.66666666666669
a42 b46 166.66666666666669
a42 b47 175.0
a42 b48 175.0
a42 b54 166.66666666666669
a42 b55 166.66666666666669
a42 b56 175.0
a42 b58 175.0
a42 b60 150
a42 b61 166.66666666666669
a42 b62 166.66666666666669
a42 b66 150
a42 b70 175.0
a42 b75 166.66666666666669
a42 b78 150
a42 b80 150
a42 b81 175.0
a42 b82 166.66666666666669
a42 b83 175.0
a42 b85 150
a42 b94 150
a42 b95 150
a42 b96 150
a42 b99 150
a43 b38 150
a43 b49 150
a44 b32 175.0
a44 b36 175.0
a44 b41 175.0
a44 b42 175.0
a44 b47 150
a44 b48 150
a44 b56 150
a44 b58 150
a44 b60 175.0
a44 b66 175.0
a44 b70 150
a44 b78 175.0
a44 b80 175.0
a44 b81 150
a44 b83 150
a44 b85 175.0
a44 b94 175.0
a44 b95 175.0
a44 b96 175.0
a44 b99 175.0
a45 b16 150
a45 b19 162.5
a45 b20 160.0
a45 b24 160.0
a45 b25 160.0
a45 b27 162.5
a45 b28 150
a45 b30 160.0
a45 b31 162.5
a45 b33 150
a45 b34 160.0
a45 b35 160.0
a45 b37 150
a45 b39 162.5
a45 b40 150
a45 b43 150
a45 b44 150
a45 b45 162.5
a45 b46 162.5
a45 b50 160.0
a45 b51 150
a45 b53 150
a45 b54 162.5
a45 b55 162.5
a45 b57 160.0
a45 b59 150
a45 b61 162.5
a45 b62 162.5
a45 b64 160.0
a45 b65 160.0
a45 b67 160.0
a45 b69 160.0
a45 b71 150
a45 b72 160.0
a45 b73 150
a45 b74 150
a45 b75 162.5
a45 b76 160.0
a45 b77 150
a45 b82 162.5
a45 b84 160.0
a45 b86 150
a45 b88 150
a45 b90 150
a45 b92 160.0
a45 b93 150
a45 b97 160.0
a45 b98 160.0
a46 b38 150
a46 b49 150
a47 b19 166.66666666666669
a47 b27 166.66666666666669
a47 b31 166.66666666666669
a47 b32 150
a47 b36 150
a47 b39 166.66666666666669
a47 b41 150
a47 b42 150
a47 b45 166.66666666666669
a47 b46 166.66666666666669
a47 b47 175.0
a47 b48 175.0
a47 b54 166.66666666666669
a47 b55 166.66666666666669
a47 b56 175.0
a47 b58 175.0
a47 b60 150
a47 b61 166.66666666666669
a47 b62 166.66666666666669
a47 b66 150
a47 b70 175.0
a47 b75 166.66666666666669
a47 b78 150
a47 b80 150
a47 b81 175.0
a47 b82 166.66666666666669
a47 b83 175.0
a47 b85 150
a47 b94 150
a47 b95 150
a47 b96 150
a47 b99 150
a48 b32 175.0
a48 b36 175.0
a48 b41 175.0
a48 b42 175.0
a48 b47 150
a48 b48 150
a48 b56 150
a48 b58 150
a48 b60 175.0
a48 b66 175.0
a48 b70 150
a48 b78 175.0
a48 b80 175.0
a48 b81 150
a48 b83 150
a48 b85 175.0
a48 b94 175.0
a48 b95 175.0
a48 b96 175.0
a48 b99 175.0
a49 b38 150
a49 b49 150
a50 b16 162.5
a50 b19 150
a50 b27 150
a50 b28 162.5
a50 b31 150
a50 b32 166.66666666666669
a50 b33 162.5
a50 b36 166.66666666666669
a50 b37 162.5
a50 b39 150
a50 b40 162.5
a50 b41 166.66666666666669
a50 b42 166.66666666666669
a50 b43 162.5
a50 b44 162.5
a50 b45 150
a50 b46 150
a50 b51 162.5
a50 b53 162.5
a50 b54 150
a50 b55 150
a50 b59 162.5
a50 b60 166.66666666666669
a50 b61 150
a50 b62 150
a50 b66 166.66666666666669
a50 b71 162.5
a50 b73 162.5
a50 b74 162.5
a50 b75 150
a50 b77 162.5
a50 b78 166.66666666666669
a50 b80 166.66666666666669
a50 b82 150
a50 b85 166.66666666666669
a50 b86 162.5
a50 b88 162.5
a50 b90 162.5
a50 b93 162.5
a50 b94 166.66666666666669
a50 b95 166.66666666666669
a50 b96 166.66666666666669
a50 b99 166.66666666666669
a51 b16 162.5
a51 b19 150
a51 b27 150
a51 b28 162.5
a51 b31 150
a51 b32 166.66666666666669
a51 b33 162.5
a51 b36 166.66666666666669
a51 b37 162.5
a51 b39 150
a51 b40 162.5
a51 b41 166.66666666666669
a51 b42 166.66666666666669
a51 b43 162.5
a51 b44 162.5
a51 b45 150
a51 b46 150
a51 b51 162.5
